Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Journey_year,hours,minutes,Arrival_hour,Arrival_min,duration_mins,duration_hours
SpiceJet,Mumbai,Hyderabad,0.0,2017,9,5,2019,22,45,0,15,30,1
Jet Airways,Kolkata,Banglore,1.0,10844,6,6,2019,8,25,18,15,50,9
Air Asia,Delhi,Cochin,1.0,6751,9,5,2019,20,45,7,10,25,10
IndiGo,Kolkata,Banglore,0.0,4804,24,6,2019,22,15,0,50,35,2
SpiceJet,Kolkata,Banglore,0.0,3841,9,6,2019,9,0,11,25,25,2
SpiceJet,Mumbai,Hyderabad,0.0,2753,3,6,2019,5,45,7,15,30,1
IndiGo,Banglore,New Delhi,0.0,6860,3,3,2019,0,40,3,25,45,2
Air India,Banglore,New Delhi,1.0,8032,15,3,2019,11,50,13,0,10,25
Air India,Banglore,Delhi,0.0,5228,24,4,2019,21,5,23,55,50,2
Jet Airways,Mumbai,Hyderabad,0.0,2071,27,3,2019,19,35,21,5,30,1
Air India,Kolkata,Banglore,1.0,11936,21,5,2019,10,0,23,15,15,13
Jet Airways,Delhi,Cochin,2.0,10368,6,6,2019,5,30,19,0,30,13
IndiGo,Delhi,Cochin,1.0,6093,3,6,2019,11,25,21,0,35,9
Jet Airways,Delhi,Cochin,2.0,13292,3,6,2019,9,35,12,35,0,27
Jet Airways,Mumbai,Hyderabad,0.0,5678,27,3,2019,2,55,4,25,30,1
Jet Airways,Delhi,Cochin,1.0,12373,9,5,2019,19,15,4,25,10,9
Jet Airways,Delhi,Cochin,2.0,10368,1,6,2019,5,30,4,25,55,22
Air India,Delhi,Cochin,1.0,13348,3,3,2019,6,10,8,15,5,26
Air Asia,Kolkata,Banglore,0.0,4384,9,3,2019,10,20,12,55,35,2
Air Asia,Kolkata,Banglore,1.0,5192,18,5,2019,7,35,19,25,50,11
IndiGo,Delhi,Cochin,1.0,6526,27,5,2019,7,30,21,0,30,13
Jet Airways,Kolkata,Banglore,1.0,5608,12,6,2019,10,20,17,35,15,7
SpiceJet,Chennai,Kolkata,0.0,3543,15,5,2019,17,45,20,5,20,2
SpiceJet,Mumbai,Hyderabad,0.0,2017,12,5,2019,5,45,7,15,30,1
Multiple carriers,Delhi,Cochin,1.0,11200,1,6,2019,11,25,19,0,35,7
SpiceJet,Banglore,New Delhi,0.0,6205,9,3,2019,20,30,23,20,50,2
Jet Airways,Banglore,New Delhi,1.0,7832,21,3,2019,21,25,11,25,0,14
IndiGo,Delhi,Cochin,0.0,5000,27,6,2019,14,25,17,40,15,3
SpiceJet,Kolkata,Banglore,0.0,3841,21,5,2019,17,10,19,40,30,2
Jet Airways,Delhi,Cochin,0.0,4256,24,6,2019,11,0,14,15,15,3
Jet Airways,Delhi,Cochin,2.0,10976,27,3,2019,19,10,19,45,35,24
Jet Airways,Delhi,Cochin,2.0,12819,27,6,2019,23,5,4,25,20,29
Air Asia,Kolkata,Banglore,0.0,5964,1,3,2019,19,35,22,5,30,2
Jet Airways,Banglore,Delhi,0.0,4544,3,4,2019,11,10,14,5,55,2
Multiple carriers,Delhi,Cochin,1.0,10877,12,6,2019,8,30,19,0,30,10
Jet Airways,Banglore,New Delhi,1.0,11087,18,3,2019,11,40,10,25,45,22
IndiGo,Delhi,Cochin,1.0,6442,27,5,2019,8,35,22,30,55,13
Jet Airways,Kolkata,Banglore,1.0,13941,12,5,2019,20,0,10,5,5,14
Jet Airways,Banglore,New Delhi,1.0,11297,12,3,2019,5,50,15,0,10,9
IndiGo,Delhi,Cochin,1.0,7514,3,6,2019,7,35,16,10,35,8
Jet Airways,Delhi,Cochin,1.0,12242,21,3,2019,22,0,4,25,25,6
Jet Airways,Delhi,Cochin,1.0,10262,15,6,2019,2,15,12,35,20,10
Jet Airways,Delhi,Cochin,1.0,12373,18,5,2019,17,30,19,0,30,25
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,2019,8,25,19,50,25,11
Air India,Banglore,New Delhi,0.0,25913,1,3,2019,17,0,19,45,45,2
Multiple carriers,Delhi,Cochin,1.0,16108,15,6,2019,10,0,19,15,15,9
IndiGo,Mumbai,Hyderabad,0.0,2227,18,6,2019,21,20,22,50,30,1
Multiple carriers,Delhi,Cochin,1.0,13378,21,3,2019,7,5,19,15,10,12
Multiple carriers,Delhi,Cochin,1.0,9646,6,6,2019,7,5,16,10,5,9
Jet Airways,Kolkata,Banglore,1.0,13067,15,5,2019,9,35,18,0,25,8
IndiGo,Delhi,Cochin,1.0,6790,21,3,2019,8,35,22,20,45,13
Jet Airways,Banglore,New Delhi,1.0,11507,12,3,2019,9,45,0,30,45,14
IndiGo,Banglore,New Delhi,1.0,9165,15,3,2019,14,25,19,25,0,5
Air India,Banglore,New Delhi,1.0,6850,15,3,2019,22,0,23,20,20,25
SpiceJet,Kolkata,Banglore,0.0,3841,9,4,2019,22,20,0,40,20,2
Air India,Banglore,Delhi,0.0,5176,1,4,2019,6,10,8,55,45,2
SpiceJet,Banglore,Delhi,0.0,3971,24,5,2019,21,10,0,5,55,2
IndiGo,Kolkata,Banglore,0.0,6985,3,3,2019,15,10,17,45,35,2
Jet Airways,Mumbai,Hyderabad,0.0,5678,27,5,2019,19,35,21,5,30,1
Air India,Mumbai,Hyderabad,0.0,2050,3,4,2019,21,5,22,25,20,1
GoAir,Delhi,Cochin,1.0,10188,9,5,2019,14,25,19,35,10,5
Jet Airways,Delhi,Cochin,1.0,13843,9,3,2019,2,15,19,45,30,17
Air India,Kolkata,Banglore,2.0,14424,15,5,2019,10,0,5,25,25,19
IndiGo,Delhi,Cochin,1.0,7191,15,5,2019,18,35,1,30,55,6
Jet Airways,Mumbai,Hyderabad,0.0,4995,24,5,2019,10,20,11,50,30,1
IndiGo,Delhi,Cochin,1.0,9581,3,3,2019,5,5,10,5,0,5
SpiceJet,Kolkata,Banglore,0.0,3873,27,6,2019,17,10,19,40,30,2
Air India,Banglore,New Delhi,1.0,13859,18,3,2019,0,30,8,45,15,8
Jet Airways,Delhi,Cochin,2.0,13014,24,6,2019,5,30,4,25,55,22
Air India,Kolkata,Banglore,2.0,17732,6,5,2019,9,25,5,25,0,20
Multiple carriers,Delhi,Cochin,1.0,15147,6,3,2019,8,55,15,30,35,6
Multiple carriers,Delhi,Cochin,1.0,13377,27,5,2019,13,0,1,30,30,12
Air India,Mumbai,Hyderabad,0.0,3100,27,5,2019,19,30,20,45,15,1
Jet Airways,Kolkata,Banglore,1.0,10844,6,5,2019,14,5,19,50,45,5
Jet Airways,Delhi,Cochin,1.0,5406,27,3,2019,17,30,19,45,15,26
Multiple carriers,Delhi,Cochin,1.0,15147,6,3,2019,8,55,21,0,5,12
GoAir,Banglore,Delhi,0.0,3898,3,5,2019,7,45,10,40,55,2
SpiceJet,Kolkata,Banglore,0.0,3841,24,4,2019,17,10,19,40,30,2
IndiGo,Delhi,Cochin,0.0,6015,12,6,2019,21,5,0,20,15,3
IndiGo,Banglore,Delhi,0.0,4423,27,4,2019,10,10,13,0,50,2
Jet Airways,Kolkata,Banglore,1.0,14388,21,5,2019,14,5,10,5,0,20
Multiple carriers,Delhi,Cochin,1.0,6007,27,6,2019,12,50,21,0,10,8
IndiGo,Kolkata,Banglore,0.0,4804,24,6,2019,20,20,22,55,35,2
Air Asia,Delhi,Cochin,1.0,6451,27,4,2019,20,45,7,10,25,10
Jet Airways,Kolkata,Banglore,1.0,14231,24,3,2019,16,55,16,20,25,23
IndiGo,Kolkata,Banglore,1.0,5192,24,5,2019,15,15,20,5,50,4
Multiple carriers,Delhi,Cochin,1.0,13727,9,5,2019,9,0,21,0,0,12
Air India,Banglore,New Delhi,2.0,12515,12,3,2019,6,45,9,25,40,26
IndiGo,Banglore,Delhi,0.0,3419,6,5,2019,22,10,1,0,50,2
Jet Airways,Mumbai,Hyderabad,0.0,1840,27,3,2019,2,55,4,25,30,1
IndiGo,Mumbai,Hyderabad,0.0,5755,3,3,2019,12,0,13,25,25,1
Air India,Banglore,New Delhi,2.0,13576,1,3,2019,5,50,22,10,20,16
Air Asia,Kolkata,Banglore,0.0,5989,18,5,2019,19,55,22,25,30,2
Multiple carriers,Delhi,Cochin,1.0,13727,15,5,2019,18,15,1,30,15,7
Jet Airways,Banglore,Delhi,0.0,7229,18,5,2019,17,45,20,45,0,3
Air India,Mumbai,Hyderabad,3.0,14260,12,3,2019,16,50,12,25,35,19
IndiGo,Chennai,Kolkata,0.0,3850,3,5,2019,5,15,7,40,25,2
IndiGo,Chennai,Kolkata,0.0,3597,27,5,2019,14,45,17,5,20,2
Air India,Banglore,New Delhi,2.0,7642,21,3,2019,8,15,11,20,5,27
Multiple carriers,Delhi,Cochin,1.0,6883,21,3,2019,8,0,21,0,0,13
Jet Airways,Mumbai,Hyderabad,0.0,4160,21,3,2019,7,10,8,35,25,1
Multiple carriers,Delhi,Cochin,1.0,10696,3,6,2019,7,5,16,10,5,9
Jet Airways,Delhi,Cochin,2.0,12872,27,5,2019,9,35,12,35,0,27
IndiGo,Banglore,Delhi,0.0,3943,3,5,2019,4,0,6,50,50,2
IndiGo,Banglore,Delhi,0.0,4423,9,6,2019,10,10,13,0,50,2
Air Asia,Delhi,Cochin,1.0,6253,15,6,2019,20,45,7,10,25,10
Jet Airways,Delhi,Cochin,1.0,7438,27,3,2019,23,5,19,45,40,20
Air India,Banglore,New Delhi,2.0,12935,18,3,2019,6,45,16,20,35,9
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,2019,20,0,12,0,0,16
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,2019,8,25,19,50,25,11
IndiGo,Banglore,New Delhi,0.0,6144,9,3,2019,21,20,0,15,55,2
Vistara,Kolkata,Banglore,1.0,9555,9,6,2019,7,10,20,20,10,13
IndiGo,Delhi,Cochin,1.0,10112,1,6,2019,23,30,4,35,5,5
SpiceJet,Banglore,Delhi,0.0,3573,9,5,2019,5,55,8,35,40,2
Multiple carriers,Delhi,Cochin,1.0,15078,9,5,2019,10,0,1,30,30,15
Jet Airways,Delhi,Cochin,2.0,15129,27,5,2019,9,40,4,25,45,18
Air India,Delhi,Cochin,2.0,10660,9,3,2019,9,45,9,25,40,23
IndiGo,Delhi,Cochin,1.0,5733,27,3,2019,2,0,7,45,45,5
IndiGo,Chennai,Kolkata,0.0,4326,24,3,2019,7,55,10,15,20,2
IndiGo,Kolkata,Banglore,1.0,4226,1,4,2019,19,35,23,15,40,3
Multiple carriers,Delhi,Cochin,1.0,11789,12,6,2019,10,20,19,0,40,8
Jet Airways,Delhi,Cochin,1.0,12242,27,3,2019,20,50,4,25,35,7
IndiGo,Banglore,Delhi,0.0,4823,24,6,2019,7,10,10,5,55,2
Air India,Delhi,Cochin,1.0,8669,12,6,2019,7,0,19,15,15,12
Air India,Mumbai,Hyderabad,0.0,2575,24,3,2019,21,5,22,25,20,1
IndiGo,Delhi,Cochin,1.0,12351,9,3,2019,6,40,21,0,20,14
Jet Airways,Delhi,Cochin,2.0,13292,6,6,2019,5,30,19,0,30,13
Air Asia,Banglore,Delhi,0.0,3383,24,4,2019,4,55,7,45,50,2
SpiceJet,Mumbai,Hyderabad,0.0,2753,15,3,2019,22,45,0,10,25,1
Multiple carriers,Delhi,Cochin,1.0,11789,15,6,2019,6,0,19,0,0,13
Jet Airways,Kolkata,Banglore,1.0,14151,9,6,2019,17,0,9,45,45,16
Jet Airways,Delhi,Cochin,1.0,12898,27,5,2019,19,15,12,35,20,17
Air India,Mumbai,Hyderabad,0.0,3625,6,5,2019,6,20,7,40,20,1
IndiGo,Banglore,New Delhi,0.0,4777,9,3,2019,23,30,2,20,50,2
Air India,Delhi,Cochin,2.0,8971,27,3,2019,5,55,7,40,45,25
Jet Airways,Mumbai,Hyderabad,0.0,5678,15,6,2019,19,35,21,5,30,1
Air India,Banglore,Delhi,0.0,5228,6,5,2019,13,20,16,10,50,2
Vistara,Banglore,Delhi,0.0,5613,9,4,2019,19,30,22,15,45,2
Jet Airways,Delhi,Cochin,1.0,16289,9,3,2019,16,0,4,25,25,12
SpiceJet,Chennai,Kolkata,0.0,3597,6,5,2019,17,45,20,5,20,2
SpiceJet,Kolkata,Banglore,0.0,4439,18,5,2019,9,0,11,25,25,2
Air India,Delhi,Cochin,1.0,6745,21,3,2019,23,0,19,15,15,20
Jet Airways,Delhi,Cochin,1.0,10262,3,6,2019,22,50,4,25,35,5
Jet Airways,Banglore,Delhi,0.0,6478,27,6,2019,6,0,8,45,45,2
Multiple carriers,Delhi,Cochin,1.0,9646,9,6,2019,7,5,16,10,5,9
IndiGo,Kolkata,Banglore,0.0,4804,24,4,2019,20,20,22,55,35,2
Air India,Delhi,Cochin,3.0,10493,24,6,2019,5,15,19,15,0,38
SpiceJet,Mumbai,Hyderabad,0.0,5755,9,3,2019,8,50,10,15,25,1
SpiceJet,Kolkata,Banglore,0.0,3847,27,3,2019,22,20,0,40,20,2
Jet Airways,Kolkata,Banglore,1.0,14781,1,5,2019,16,30,23,35,5,7
Air India,Delhi,Cochin,1.0,6902,21,3,2019,21,0,7,40,40,10
IndiGo,Delhi,Cochin,1.0,6674,9,3,2019,11,55,22,20,25,10
Jet Airways,Banglore,New Delhi,1.0,16736,6,3,2019,16,55,8,15,20,15
Jet Airways,Delhi,Cochin,1.0,12373,9,5,2019,21,50,19,0,10,21
IndiGo,Kolkata,Banglore,0.0,5224,24,5,2019,11,30,14,5,35,2
Vistara,Banglore,Delhi,0.0,4878,24,6,2019,17,0,19,35,35,2
Jet Airways,Banglore,Delhi,0.0,7229,27,4,2019,19,50,22,50,0,3
IndiGo,Banglore,New Delhi,0.0,8855,15,3,2019,22,20,1,10,50,2
Jet Airways,Delhi,Cochin,1.0,15554,9,5,2019,11,30,19,0,30,7
Jet Airways,Kolkata,Banglore,1.0,13044,12,6,2019,21,10,9,20,10,12
IndiGo,Delhi,Cochin,1.0,6573,9,4,2019,9,15,1,30,15,16
Vistara,Kolkata,Banglore,1.0,9345,24,5,2019,7,10,23,25,15,16
Jet Airways,Kolkata,Banglore,1.0,14571,6,6,2019,8,25,16,20,55,7
SpiceJet,Kolkata,Banglore,1.0,8844,15,5,2019,11,15,18,30,15,7
SpiceJet,Kolkata,Banglore,1.0,8844,12,5,2019,15,55,21,25,30,5
Vistara,Mumbai,Hyderabad,1.0,12080,12,3,2019,7,30,19,55,25,12
Multiple carriers,Delhi,Cochin,2.0,18275,24,6,2019,17,50,1,30,40,7
Air India,Kolkata,Banglore,2.0,9416,12,6,2019,12,0,11,10,10,23
IndiGo,Delhi,Cochin,1.0,6493,6,6,2019,17,5,22,25,20,5
Jet Airways,Delhi,Cochin,2.0,13029,18,5,2019,5,30,4,25,55,22
GoAir,Delhi,Cochin,1.0,19495,6,3,2019,14,10,19,20,10,5
Jet Airways,Kolkata,Banglore,1.0,10703,6,5,2019,17,0,23,35,35,6
Jet Airways,Delhi,Cochin,2.0,13029,18,5,2019,5,30,19,0,30,13
Multiple carriers,Delhi,Cochin,1.0,9794,9,5,2019,8,45,19,0,15,10
Air India,Delhi,Cochin,1.0,9929,27,5,2019,7,0,19,15,15,12
Jet Airways,Banglore,New Delhi,1.0,7832,21,3,2019,8,0,20,20,20,12
Air India,Delhi,Cochin,1.0,14777,3,3,2019,19,0,7,40,40,12
Jet Airways,Delhi,Cochin,1.0,14714,1,6,2019,21,50,12,35,45,14
Jet Airways,Delhi,Cochin,1.0,12898,21,5,2019,14,0,19,0,0,5
Jet Airways,Kolkata,Banglore,1.0,12692,12,6,2019,17,0,23,35,35,6
IndiGo,Chennai,Kolkata,0.0,3850,6,5,2019,7,55,10,15,20,2
Jet Airways,Kolkata,Banglore,1.0,9663,24,5,2019,16,30,9,20,50,16
IndiGo,Kolkata,Banglore,0.0,4488,12,4,2019,20,20,22,55,35,2
Jet Airways,Kolkata,Banglore,1.0,7064,12,5,2019,10,20,17,35,15,7
Vistara,Kolkata,Banglore,1.0,8610,12,5,2019,20,20,20,20,0,24
Jet Airways,Delhi,Cochin,1.0,10262,24,6,2019,20,55,19,0,5,22
Air India,Delhi,Cochin,1.0,8372,18,5,2019,9,45,9,25,40,23
IndiGo,Delhi,Cochin,1.0,8285,27,3,2019,8,25,21,0,35,12
Vistara,Kolkata,Banglore,1.0,9345,15,5,2019,17,0,23,25,25,6
IndiGo,Banglore,Delhi,0.0,3943,12,5,2019,1,30,4,15,45,2
Multiple carriers,Delhi,Cochin,1.0,8073,6,5,2019,19,0,1,30,30,6
Air India,Delhi,Cochin,2.0,9653,21,5,2019,12,0,7,40,40,19
IndiGo,Mumbai,Hyderabad,0.0,2754,27,6,2019,12,0,13,30,30,1
Jet Airways,Delhi,Cochin,1.0,14714,6,6,2019,15,0,19,0,0,28
Air Asia,Kolkata,Banglore,0.0,3807,6,4,2019,22,50,1,20,30,2
Jet Airways,Mumbai,Hyderabad,0.0,8040,27,6,2019,8,45,10,15,30,1
Air India,Banglore,New Delhi,1.0,14594,6,3,2019,11,50,19,50,0,8
IndiGo,Delhi,Cochin,1.0,5647,9,3,2019,6,40,12,0,20,5
Jet Airways,Kolkata,Banglore,1.0,8586,24,5,2019,18,55,4,40,45,9
Jet Airways,Mumbai,Hyderabad,0.0,4995,6,5,2019,7,5,8,30,25,1
Jet Airways,Delhi,Cochin,1.0,5177,6,4,2019,14,0,19,0,0,5
IndiGo,Banglore,Delhi,0.0,3943,18,5,2019,10,10,13,0,50,2
Jet Airways,Kolkata,Banglore,1.0,13731,24,5,2019,20,0,8,15,15,12
Jet Airways,Delhi,Cochin,1.0,10577,9,6,2019,16,0,19,0,0,27
Multiple carriers,Delhi,Cochin,1.0,7215,21,3,2019,11,40,21,0,20,9
SpiceJet,Mumbai,Hyderabad,0.0,1965,21,5,2019,22,45,0,15,30,1
Air Asia,Delhi,Cochin,1.0,7452,18,5,2019,20,45,7,10,25,10
IndiGo,Mumbai,Hyderabad,0.0,5755,3,5,2019,9,10,10,40,30,1
Air India,Delhi,Cochin,2.0,10283,3,3,2019,5,0,19,15,15,38
Jet Airways,Kolkata,Banglore,1.0,13364,1,4,2019,14,5,23,35,30,9
GoAir,Delhi,Cochin,1.0,5430,24,4,2019,10,35,19,35,0,9
Jet Airways,Delhi,Cochin,0.0,4466,18,6,2019,9,50,13,5,15,3
Jet Airways,Banglore,Delhi,0.0,7229,1,4,2019,19,50,22,50,0,3
Jet Airways,Delhi,Cochin,1.0,10262,3,6,2019,18,15,4,25,10,10
Jet Airways,Banglore,Delhi,0.0,7229,3,5,2019,19,50,22,50,0,3
Vistara,Kolkata,Banglore,1.0,8610,6,5,2019,7,10,20,20,10,13
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,2019,16,30,20,45,15,28
Air India,Kolkata,Banglore,1.0,4227,1,4,2019,19,0,4,40,40,9
Jet Airways,Banglore,New Delhi,1.0,7832,21,3,2019,8,55,15,15,20,6
Multiple carriers,Delhi,Cochin,1.0,9646,27,6,2019,9,45,22,30,45,12
Jet Airways,Delhi,Cochin,1.0,16289,9,3,2019,18,15,18,50,35,24
Jet Airways,Kolkata,Banglore,1.0,11467,1,5,2019,9,35,14,25,50,28
Jet Airways,Banglore,Delhi,0.0,4030,15,5,2019,8,20,11,20,0,3
Jet Airways,Kolkata,Banglore,1.0,13044,12,6,2019,20,0,12,0,0,16
SpiceJet,Kolkata,Banglore,0.0,3841,24,5,2019,17,10,19,40,30,2
Jet Airways,Delhi,Cochin,1.0,17024,6,3,2019,19,15,4,25,10,9
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,2019,21,10,16,20,10,19
Multiple carriers,Delhi,Cochin,1.0,12327,27,3,2019,16,0,1,35,35,9
Jet Airways,Kolkata,Banglore,1.0,13784,1,4,2019,21,10,10,5,55,12
Multiple carriers,Delhi,Cochin,1.0,5797,27,6,2019,15,15,1,30,15,10
Jet Airways,Kolkata,Banglore,1.0,10844,15,5,2019,6,30,18,15,45,11
Air India,Delhi,Cochin,2.0,10441,9,6,2019,22,0,19,15,15,21
Air India,Kolkata,Banglore,1.0,6117,9,5,2019,19,0,11,5,5,16
IndiGo,Banglore,Delhi,0.0,4423,6,4,2019,13,0,15,50,50,2
Jet Airways,Delhi,Cochin,1.0,10262,24,6,2019,14,0,19,0,0,5
Air India,Banglore,Delhi,0.0,7171,1,6,2019,17,0,19,45,45,2
Jet Airways,Banglore,New Delhi,1.0,13502,3,3,2019,8,0,7,40,40,23
Air India,Banglore,New Delhi,2.0,12778,12,3,2019,8,50,16,20,30,31
Air India,Delhi,Cochin,1.0,9064,9,3,2019,17,45,23,0,15,5
Air India,Banglore,Delhi,0.0,5228,15,6,2019,21,5,23,55,50,2
Air India,Banglore,New Delhi,0.0,9481,9,3,2019,17,0,19,50,50,2
IndiGo,Delhi,Cochin,1.0,5947,21,3,2019,21,5,1,45,40,4
Jet Airways,Banglore,Delhi,0.0,4030,21,5,2019,19,50,22,50,0,3
Vistara,Banglore,New Delhi,0.0,5403,24,3,2019,7,0,9,40,40,2
Jet Airways,Banglore,Delhi,0.0,4544,1,4,2019,6,0,8,45,45,2
SpiceJet,Chennai,Kolkata,0.0,6300,15,3,2019,9,30,12,5,35,2
Multiple carriers,Delhi,Cochin,1.0,15353,6,3,2019,6,0,19,15,15,13
Multiple carriers,Delhi,Cochin,1.0,6795,27,5,2019,11,40,1,30,50,13
Multiple carriers,Delhi,Cochin,1.0,7530,3,6,2019,11,40,1,30,50,13
Air India,Kolkata,Banglore,1.0,6612,12,5,2019,12,0,13,15,15,25
Multiple carriers,Delhi,Cochin,2.0,18275,3,6,2019,17,50,1,30,40,7
Air India,Banglore,New Delhi,1.0,11392,3,3,2019,0,30,8,45,15,8
IndiGo,Banglore,New Delhi,0.0,7648,3,3,2019,18,25,21,20,55,2
Jet Airways,Delhi,Cochin,1.0,12373,18,5,2019,15,0,4,25,25,13
Multiple carriers,Delhi,Cochin,1.0,7038,1,6,2019,14,55,22,30,35,7
Vistara,Banglore,New Delhi,0.0,7608,3,3,2019,21,10,0,5,55,2
Air India,Kolkata,Banglore,2.0,9416,6,6,2019,12,0,11,10,10,23
Jet Airways,Kolkata,Banglore,1.0,9663,21,5,2019,14,5,4,40,35,14
Jet Airways,Banglore,Delhi,0.0,8016,9,6,2019,6,0,8,45,45,2
IndiGo,Kolkata,Banglore,1.0,6534,24,5,2019,21,0,2,15,15,5
Jet Airways,Banglore,Delhi,0.0,7229,1,6,2019,7,10,10,10,0,3
Air India,Delhi,Cochin,1.0,8372,12,6,2019,9,0,19,15,15,10
Jet Airways,Banglore,New Delhi,1.0,7832,21,3,2019,18,40,7,40,0,13
Multiple carriers,Delhi,Cochin,1.0,9315,21,5,2019,7,30,19,0,30,11
Multiple carriers,Delhi,Cochin,1.0,9385,18,5,2019,13,0,21,0,0,8
Jet Airways,Kolkata,Banglore,1.0,12681,1,4,2019,8,25,19,50,25,11
Multiple carriers,Delhi,Cochin,1.0,16863,6,3,2019,18,0,1,35,35,7
Vistara,Banglore,Delhi,0.0,5613,6,4,2019,9,45,12,35,50,2
Jet Airways,Delhi,Cochin,2.0,15129,21,5,2019,23,5,12,35,30,13
Jet Airways,Delhi,Cochin,1.0,10262,15,6,2019,14,0,19,0,0,5
Jet Airways,Kolkata,Banglore,1.0,13059,6,6,2019,14,5,4,40,35,14
SpiceJet,Kolkata,Banglore,0.0,3873,1,5,2019,22,20,0,40,20,2
IndiGo,Kolkata,Banglore,0.0,4174,1,4,2019,14,25,16,55,30,2
Vistara,Kolkata,Banglore,1.0,9135,12,5,2019,17,0,18,50,50,25
Air India,Delhi,Cochin,2.0,9417,9,5,2019,13,15,9,25,10,20
IndiGo,Banglore,Delhi,0.0,3943,24,6,2019,6,5,8,50,45,2
SpiceJet,Delhi,Cochin,1.0,5583,27,6,2019,6,5,11,20,15,5
Jet Airways,Delhi,Cochin,1.0,12373,18,5,2019,9,0,4,25,25,19
Air India,Kolkata,Banglore,1.0,7893,1,4,2019,20,30,12,0,30,15
IndiGo,Mumbai,Hyderabad,0.0,2754,27,3,2019,12,0,13,25,25,1
Multiple carriers,Delhi,Cochin,1.0,7741,27,6,2019,10,20,19,15,55,8
Jet Airways,Banglore,Delhi,0.0,6478,27,6,2019,7,10,10,10,0,3
Jet Airways,Kolkata,Banglore,1.0,14571,9,6,2019,6,30,12,0,30,5
IndiGo,Delhi,Cochin,1.0,7191,6,5,2019,18,35,1,30,55,6
SpiceJet,Kolkata,Banglore,0.0,4174,18,4,2019,17,10,19,40,30,2
Jet Airways,Kolkata,Banglore,1.0,14571,9,6,2019,20,0,12,0,0,16
